Temperature,Year,Month
-11.822,2001,9
-18.262,2001,10
-24.119,2001,11
-21.92,2001,12
-23.966,2002,1
-29.718,2002,2
-28.935,2002,3
-23.791,2002,4
-12.859,2002,5
-4.9689,2002,6
-2.9475,2002,7
-4.8518,2002,8
-11.148,2002,9
-15.968,2002,10
-22.101,2002,11
-21.687,2002,12
-23.57,2003,1
-25.591,2003,2
-28.633,2003,3
-21.808,2003,4
-12.914,2003,5
-5.6081,2003,6
-1.2006,2003,7
-4.0808,2003,8
-10.648,2003,9
-16.98,2003,10
-23.439,2003,11
-25.817,2003,12
-24.998,2004,1
-26.166,2004,2
-27.979,2004,3
-19.909,2004,4
-12.877,2004,5
-6.3286,2004,6
-3.2909,2004,7
-5.0594,2004,8
-13.017,2004,9
-19.06,2004,10
-25.162,2004,11
-27.271,2004,12
-23.022,2005,1
-21.433,2005,2
-25.605,2005,3
-21.129,2005,4
-11.169,2005,5
-5.0792,2005,6
-2.3895,2005,7
-6.0556,2005,8
-13.077,2005,9
-19.979,2005,10
-22.715,2005,11
-22.781,2005,12
-22.213,2006,1
-26.096,2006,2
-26.793,2006,3
-20.913,2006,4
-11.765,2006,5
-6.9048,2006,6
-2.9517,2006,7
-5.8119,2006,8
-11.31,2006,9
-19.52,2006,10
-25.101,2006,11
-24.946,2006,12
-25.019,2007,1
-24.471,2007,2
-28.071,2007,3
-22.12,2007,4
-13.899,2007,5
-6.0649,2007,6
-2.9558,2007,7
-5.0696,2007,8
-13.416,2007,9
-19.836,2007,10
-24.263,2007,11
-25.895,2007,12
-25.989,2008,1
-27.599,2008,2
-28.72,2008,3
-21.905,2008,4
-12.953,2008,5
-5.9016,2008,6
-3.2775,2008,7
-5.5469,2008,8
-12.952,2008,9
-19.794,2008,10
-24.54,2008,11
-25.369,2008,12
-23.592,2009,1
-27.784,2009,2
-29.413,2009,3
-22.236,2009,4
-12.722,2009,5
-6.8129,2009,6
-2.3259,2009,7
-5.2112,2009,8
-13.512,2009,9
-20.381,2009,10
-24.978,2009,11
-23.14,2009,12
-22.719,2010,1
-24.661,2010,2
-27.703,2010,3
-21.136,2010,4
-12.379,2010,5
-5.8989,2010,6
-2.7734,2010,7
-4.8597,2010,8
-11.913,2010,9
-18.387,2010,10
-23.472,2010,11
-22.221,2010,12
-22.967,2011,1
-24.259,2011,2
-28.305,2011,3
-23.22,2011,4
-13.091,2011,5
-5.7151,2011,6
-2.5012,2011,7
-5.4281,2011,8
-12.812,2011,9
-19.895,2011,10
-23.908,2011,11
-26.633,2011,12
-24.098,2012,1
-26.564,2012,2
-28.743,2012,3
-22.321,2012,4
-13.076,2012,5
-6.4015,2012,6
-3.0375,2012,7
-5.5682,2012,8
-13.036,2012,9
-18.654,2012,10
-24.117,2012,11
-24.839,2012,12
-24.249,2013,1
-26.432,2013,2
-28.127,2013,3
-23.294,2013,4
-14.202,2013,5
-5.9214,2013,6
-3.3559,2013,7
-6.068,2013,8
-13.336,2013,9
-19.951,2013,10
-25.058,2013,11
-25.529,2013,12
-22.604,2014,1
-23.573,2014,2
-27.654,2014,3
-22.584,2014,4
-13.125,2014,5
-5.388,2014,6
-2.3624,2014,7
-4.5879,2014,8
-12.601,2014,9
-19.689,2014,10
-23.575,2014,11
-24.994,2014,12
-24.544,2015,1
-28.872,2015,2
-27.641,2015,3
-22.729,2015,4
-14.289,2015,5
-6.3127,2015,6
-2.6015,2015,7
-5.5901,2015,8
-12.856,2015,9
-19.773,2015,10
-24.954,2015,11
-26.402,2015,12
