Year,Month,mean_extent
1978,10,17.699
1978,11,15.8964
1978,12,10.395249999999999
1979,1,5.4022
1979,2,3.1410714285714287
1979,3,3.9993125
1979,4,7.485533333333334
1979,5,10.826666666666664
1979,6,14.187000000000001
1979,7,16.516875000000002
1979,8,17.698266666666665
1979,9,18.195533333333334
1979,10,17.8205
1979,11,15.337066666666665
1979,12,9.235800000000001
1980,1,4.562
1980,2,2.818357142857143
1980,3,3.2948749999999998
1980,4,5.405
1980,5,8.856666666666667
1980,6,12.490266666666663
1980,7,15.564437499999999
1980,8,17.805600000000002
1980,9,18.81726666666667
1980,10,18.567875
1980,11,16.133133333333333
1980,12,10.155866666666666
1981,1,4.411875
1981,2,2.8735
1981,3,3.391533333333333
1981,4,5.838466666666667
1981,5,9.354624999999999
1981,6,13.108533333333334
1981,7,16.038733333333333
1981,8,17.7365
1981,9,18.596466666666668
1981,10,18.293733333333332
1981,11,16.11133333333333
1981,12,10.894812499999999
1982,1,5.260066666666666
1982,2,3.1284999999999994
1982,3,4.2878125
1982,4,7.722933333333333
1982,5,10.758333333333335
1982,6,13.416733333333333
1982,7,15.872187499999999
1982,8,17.789199999999997
1982,9,18.35346666666667
1982,10,17.788375
1982,11,15.536599999999998
1982,12,9.215666666666667
1983,1,4.770499999999998
1983,2,3.0702857142857143
1983,3,4.015666666666666
1983,4,6.470400000000001
1983,5,9.526
1983,6,12.642599999999998
1983,7,15.466666666666665
1983,8,17.250812500000002
1983,9,18.5852
1983,10,17.915333333333333
1983,11,16.014200000000002
1983,12,10.393874999999998
1984,1,4.778666666666667
1984,2,2.6772666666666667
1984,3,3.6123333333333334
1984,4,6.421999999999999
1984,5,9.7484375
1984,6,13.230466666666667
1984,7,16.394866666666665
1984,8,17.927687499999998
1984,9,18.17146666666667
1984,10,17.5726
1984,11,16.134
1984,12,10.472999999999997
1985,1,4.4554
1985,2,2.8364285714285713
1985,3,3.7171875
1985,4,6.4932
1985,5,10.152800000000001
1985,6,13.42853333333333
1985,7,15.720937500000003
1985,8,17.632200000000005
1985,9,18.7032
1985,10,18.204437500000004
1985,11,16.1402
1985,12,11.352200000000002
1986,1,5.422249999999999
1986,2,3.1931428571428575
1986,3,3.6984
1986,4,6.385533333333334
1986,5,9.295625
1986,6,12.687
1986,7,15.3168
1986,8,16.9988125
1986,9,17.683133333333334
1986,10,17.183733333333333
1986,11,15.006599999999997
1986,12,9.653937499999998
1987,1,5.126000000000001
1987,2,3.253714285714286
1987,3,4.11275
1987,4,6.796933333333333
1987,5,9.694066666666664
1987,6,12.684333333333335
1987,7,15.751562499999999
1987,8,17.66142857142857
1987,9,18.24606666666666
1987,10,17.67409677419355
1987,11,15.584099999999994
1987,12,13.379000000000001
1988,1,3.8171578947368427
1988,2,2.8856896551724134
1988,3,3.9661935483870963
1988,4,6.2874
1988,5,9.602290322580643
1988,6,13.0928
1988,7,15.748677419354838
1988,8,17.561
1988,9,18.307199999999998
1988,10,18.361032258064515
1988,11,16.147666666666662
1988,12,11.060612903225806
1989,1,4.736806451612903
1989,2,2.977607142857143
1989,3,3.927290322580645
1989,4,6.306266666666667
1989,5,10.297161290322576
1989,6,13.580433333333334
1989,7,15.710580645161292
1989,8,17.465645161290322
1989,9,18.12106666666667
1989,10,17.856096774193553
1989,11,15.733433333333332
1989,12,9.837516129032258
1990,1,4.867387096774192
1990,2,3.036178571428571
1990,3,3.965967741935484
1990,4,6.999866666666666
1990,5,9.715451612903227
1990,6,13.082899999999997
1990,7,15.57093548387097
1990,8,17.56745161290323
1990,9,18.192999999999998
1990,10,17.945322580645165
1990,11,15.4683
1990,12,9.953516129032257
1991,1,5.33825806451613
1991,2,3.161107142857144
1991,3,3.806838709677419
1991,4,7.053466666666666
1991,5,10.279451612903225
1991,6,13.065666666666665
1991,7,15.550419354838713
1991,8,17.718967741935487
1991,9,18.3126
1991,10,17.917290322580648
1991,11,15.58353333333333
1991,12,10.192322580645161
1992,1,4.748870967741935
1992,2,2.8373793103448284
1992,3,3.573290322580645
1992,4,6.794099999999999
1992,5,9.924774193548386
1992,6,12.808500000000002
1992,7,15.894419354838709
1992,8,17.72703225806451
1992,9,18.147200000000005
1992,10,17.933967741935486
1992,11,15.8955
1992,12,10.205741935483875
1993,1,4.409387096774195
1993,2,2.482178571428571
1993,3,3.668193548387097
1993,4,6.651599999999999
1993,5,10.103774193548386
